model,dataset,accuracy
clf3,dataset1,0.81978022
clf3,dataset2,0.803069054
clf3,dataset3,0.84
clf3,dataset4,0.7
clf3,dataset5,0.85
clf3,dataset6,0.9
clf3,dataset7,0.9
clf3,dataset8,0.997777778
clf3,dataset9,0.873177083
clf3,dataset10,0.864492754
clf3,dataset11,1
clf3,dataset12,0.772
clf3,dataset13,0.841025641
clf3,dataset14,0.838461538
clf3,dataset15,0.858974359
clf5,dataset1,0.454945055
clf5,dataset2,0.83887468
clf5,dataset3,0.822857143
clf5,dataset4,0.7
clf5,dataset5,0.9
clf5,dataset6,1
clf5,dataset7,0.9
clf5,dataset8,0.994444444
clf5,dataset9,0.823697917
clf5,dataset10,0.837681159
clf5,dataset11,1
clf5,dataset12,0.82
clf5,dataset13,0.794871795
clf5,dataset14,0.766666667
clf5,dataset15,0.802564103
clf1,dataset1,0.69010989
clf1,dataset2,0.017902813
clf1,dataset3,0.302857143
clf1,dataset4,0.2
clf1,dataset5,0.5
clf1,dataset6,0.5
clf1,dataset7,0.233333333
clf1,dataset8,0.333333333
clf1,dataset9,0.532552083
clf1,dataset10,0.901449275
clf1,dataset11,0.535714286
clf1,dataset12,0.592
clf1,dataset13,0.664102564
clf1,dataset14,0.584615385
clf1,dataset15,0.638461538
clf4,dataset1,0.483516484
clf4,dataset2,0.414322251
clf4,dataset3,0.794285714
clf4,dataset4,0.666666667
clf4,dataset5,0.85
clf4,dataset6,0.8
clf4,dataset7,0.8
clf4,dataset8,0.861111111
clf4,dataset9,0.8125
clf4,dataset10,0.848550725
clf4,dataset11,1
clf4,dataset12,0.576
clf4,dataset13,0.58974359
clf4,dataset14,0.597435897
clf4,dataset15,0.630769231
clf2,dataset1,0.523076923
clf2,dataset2,0.406649616
clf2,dataset3,0.662857143
clf2,dataset4,0.5
clf2,dataset5,0.75
clf2,dataset6,0.9
clf2,dataset7,0.766666667
clf2,dataset8,0.915555556
clf2,dataset9,0.549739583
clf2,dataset10,0.266666667
clf2,dataset11,0.928571429
clf2,dataset12,0.596
clf2,dataset13,0.620512821
clf2,dataset14,0.658974359
clf2,dataset15,0.612820513
